Title,Authors,Technique,Link,EC_1:Not_prompt_engineering,EC_2:Not_Text_Code_LLMs,EC_3:Cant_Use_for_Code_Generation,EC_4:Automatic_Prompting_Techniques,EC_5:Prompt_Engineering_Attacks,EC_6:Others,Detailed Exclusion Reason
Active Prompting with Chain-of-Thought for Large Language Models,"Shizhe Diao, Pengcheng Wang, Yong Lin, Tong Zhang",Active prompt,https://arxiv.org/abs/2302.12246,x,,,x,,,"The focus of this work is on the selection of best task-specific examples for the LLM. Active prompting is a way to improve the performance of CoT technique by using a more effective (uncertainity-based selection strategy) method to select the best questions or examples to annotate. Since the novelty of the technique is in the selection of few-shot CoT examples provided to the model, we decided to exclude this as a new prompting technique (EC_1). Additionally, to adapt this technique for code generation tasks, one will have to use additional scripts, tools or frameworks to identify unique solutions given by the LLM to calculate the uncertainity metric (since code responses, as opposed to reasoning task responses, are much more complicated to use simple string comparisons to identify similar or unique responses) (EC_4). "
Ask me anything: A simple strategy for prompting language models,"Simran Arora, Avanika Narayan, Mayee F. Chen, Laurel Orr, Neel Guha, Kush Bhatia, Ines Chami, Frederic Sala, Christopher Ré",Ask Me Anything,https://arxiv.org/abs/2210.02441,,,x,,,,"AMA is a technique that tries to get accurate answers by transforming restrictive questions (such as yes/no or true/false or cloze-style) into open-ended questions. However, since code generation tasks are inherently open-ended, we excluded this technique from our list (EC_3)"
A recipe for arbitrary text style transfer with large language models,"Emily Reif, Daphne Ippolito, Ann Yuan, Andy Coenen, Chris Callison-Burch, Jason Wei",Augmented zero-shot,https://arxiv.org/abs/2109.03910,,,x,,,,"This technique is designed to change the style of a given text (e.g., more descriptive, more positive, more comic). Since this is not suitable for code generation, this technique was exlcuded (EC_3)."
Large language models are human-level prompt engineers,"Yongchao Zhou, Andrei Ioan Muresanu, Ziwen Han, Keiran Paster, Silviu Pitis, Harris Chan, Jimmy Ba",Automatic Prompt Engineer,https://arxiv.org/abs/2211.01910,,,,x,,,"APE finds optimal prompts by generating multiple instruction options for a given task by directly inferring or recursively deriving them based on semantic similarity. These candidate instructions are then executed using the target model, and the most suitable one is chosen based on computed evaluation scores. Since this is an automated framework rather than a technique that involves directly prompting the LLM we excluded this (EC_4)"
ART: Automatic multi-step reasoning and tool-use for large language models,"Bhargavi Paranjape, Scott Lundberg, Sameer Singh, Hannaneh Hajishirzi, Luke Zettlemoyer, Marco Tulio Ribeiro",Automatic Reasoning and Tool-use,https://arxiv.org/abs/2303.09014,,,,x,,,"ART is another framework that automatically generates step-by-step decompositions, also known as multi-step reasoning, for new task instances. It also involves the usage of external tools such as search engines, task libraries, program grammars, optional feedback and so on. Since this is an automated approach as opposed to the other prompting techniques considered in our study, it requires a different experimental setup for evalaution, and hence was excluded from our selection (EC_4)"
Complexity-Based Prompting for Multi-Step Reasoning,"Yao Fu, Hao Peng, Ashish Sabharwal, Peter Clark, Tushar Khot",Complexity based prompting,https://arxiv.org/abs/2210.00720,x,,,,,,"Complexity-based prompting is very similar to the self-consistency technique that is included in the final list of techniques. Just like self-consistency, complexity-based prompting follows CoT prompting and generates multiple reasoning chains that lead to the final answer. The main difference is that this technique focuses on selecting examples with larger number of reasoning steps during prompting. Additionally instead of voting among all N reasoning chains returned by the LLM to get the final answer, this technique only votes among top K (K ≤ N) complex reasoning chains with larger number of reasoning steps. Hence we only identify this technique as a variation of self-consistency technique leading to its exclusion using EC_1."
Guiding Large Language Models via Directional Stimulus Prompting,"Zekun Li, Baolin Peng, Pengcheng He, Michel Galley, Jianfeng Gao, Xifeng Yan",Directional Stimulus Prompting,https://arxiv.org/abs/2302.11520,,,,x,,,It is an automated framework where they use an external model such as T5 as the policy model to generate the directional stimulus prompt for each input query. It requires training the policy model through supervised fine-tuning (SFT) using a few collected labeled data which is outside of this study's scope (EC_4).
Generated Knowledge Prompting for Commonsense Reasoning,"Jiacheng Liu, Alisa Liu, Ximing Lu, Sean Welleck, Peter West, Ronan Le Bras, Yejin Choi, Hannaneh Hajishirzi",Generated knowledge prompting,https://arxiv.org/abs/2110.08387,,,,x,,,Uses two different LLM in its pipeline one for knowledge generation and one for knowledge integration/inference. Out of scope (EC_4)
GraphPrompt: Unifying Pre-Training and Downstream Tasks for Graph Neural Networks,"Zemin Liu, Xingtong Yu, Yuan Fang, Xinming Zhang",Graph Prompt,https://arxiv.org/abs/2302.08043,,,x,,,,Prompting framework for graphs (EC_3)
Maieutic Prompting: Logically Consistent Reasoning with Recursive Explanations,"Jaehun Jung, Lianhui Qin, Sean Welleck, Faeze Brahman, Chandra Bhagavatula, Ronan Le Bras, Yejin Choi",Maieutic Prompting,https://arxiv.org/abs/2205.11822,,,x,x,,,"Maieutic prompting induces the LM to generate abductive explanations for diverse hypotheses with deep recursive reasoning, then collectively eliminates the contradicting candidates, resulting in consistent answers. It is more appropriate for fact checking and true or false questions. It also requires some automation for depthwise knowledge spanning (EC_3, EC_4)"
